               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,     train/lmmd_loss,       train/fg_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,       val/lmmd_loss,         val/fg_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089063,            0.015847,            0.012193,                   0,              0.6559,                   0,                   0,                   0,                   0,              0.0853,            0.026001,            0.011971,                   0,                   0,            0.097426,             2.6e-05,             2.6e-05
                   1,            0.082548,            0.011616,            0.010326,                   0,             0.62919,                   0,                   0,                   0,                   0,            0.083133,            0.025793,            0.011386,                   0,                   0,            0.094753,          5.2999e-05,          5.2999e-05
                   2,             0.11888,            0.011367,            0.020091,                   0,             0.64027,                   0,                   0,                   0,                   0,            0.081402,             0.02645,            0.010848,                   0,                   0,             0.09208,          7.9992e-05,          7.9992e-05
                   3,            0.091726,           0.0087025,            0.013156,                   0,             0.62901,                   0,                   0,                   0,                   0,             0.08014,            0.027223,            0.010475,                   0,                   0,            0.089407,          0.00010698,          0.00010698
                   4,            0.079455,             0.01424,            0.010056,                   0,             0.63093,                   0,                   0,                   0,                   0,            0.078498,            0.028441,            0.010142,                   0,                   0,            0.086734,          0.00013395,          0.00013395
                   5,             0.04658,           0.0083665,           0.0046198,                   0,             0.60746,                   0,                   0,                   0,                   0,            0.077257,            0.029298,           0.0099078,                   0,                   0,            0.084061,           0.0001609,           0.0001609
                   6,             0.08092,            0.012956,           0.0089211,                   0,             0.62341,                   0,                   0,                   0,                   0,            0.075545,            0.030467,           0.0095828,                   0,                   0,            0.081388,          0.00018783,          0.00018783
                   7,            0.067432,           0.0095802,            0.010128,                   0,              0.6185,                   0,                   0,                   0,                   0,            0.073721,            0.031823,           0.0092368,                   0,                   0,            0.078715,          0.00021474,          0.00021474
                   8,             0.10216,           0.0093903,            0.016585,                   0,             0.63578,                   0,                   0,                   0,                   0,            0.071921,            0.032969,           0.0089351,                   0,                   0,            0.076042,          0.00024162,          0.00024162
                   9,             0.10145,            0.017095,            0.016461,                   0,              0.6342,          0.00012592,           0.0046296,          6.3841e-05,          9.5422e-06,            0.070173,            0.034112,           0.0085849,                   0,                   0,            0.073368,          0.00026846,          0.00026846
                  10,             0.07353,            0.012889,           0.0087175,                   0,             0.63387,           0.0013388,            0.049769,           0.0007412,          0.00018174,            0.068251,            0.035303,           0.0081532,                   0,                   0,            0.070695,          0.00029527,          0.00029527
                  11,            0.069857,            0.020539,           0.0087405,                   0,             0.64036,           0.0030933,             0.11574,           0.0019077,          0.00061651,            0.066047,            0.036905,           0.0077632,                   0,                   0,            0.068022,          0.00032204,          0.00032204
                  12,            0.063226,            0.011509,           0.0084544,                   0,             0.62512,            0.004259,             0.15972,           0.0028194,          0.00092315,            0.065802,            0.037503,           0.0074812,                   0,                   0,            0.065349,          0.00034876,          0.00034876
                  13,            0.066402,            0.017398,           0.0080141,                   0,             0.62681,           0.0066431,             0.24769,           0.0055813,           0.0020612,            0.064402,             0.03861,           0.0072542,                   0,                   0,            0.062675,          0.00037543,          0.00037543
                  14,             0.07631,             0.01601,            0.012081,                   0,             0.60733,           0.0084039,              0.3125,            0.012063,           0.0041831,            0.063076,            0.039789,           0.0070706,                   0,                   0,            0.060002,          0.00040205,          0.00040205
                  15,            0.088502,            0.016063,            0.015173,                   0,             0.62286,           0.0092017,             0.33912,            0.023282,           0.0076652,            0.061902,            0.040889,           0.0068843,                   0,                   0,            0.057329,          0.00042861,          0.00042861
