               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,     train/lmmd_loss,       train/fg_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,       val/lmmd_loss,         val/fg_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12033,            0.028889,            0.016749,                   0,              0.6362,                   0,                   0,                   0,                   0,            0.083988,            0.023523,            0.011133,                   0,                   0,            0.097228,             2.8e-05,             2.8e-05
                   1,            0.084594,            0.039344,            0.010845,                   0,             0.62346,          6.1675e-05,            0.002907,          3.1056e-05,          4.6538e-06,            0.081372,            0.023558,            0.010128,                   0,                   0,            0.094357,          5.6999e-05,          5.6999e-05
                   2,             0.10342,             0.04419,            0.012553,                   0,             0.63094,          5.6029e-05,            0.002907,          2.8368e-05,          2.8368e-06,            0.079346,            0.023933,            0.009223,                   0,                   0,            0.091486,          8.5992e-05,          8.5992e-05
                   3,             0.10972,            0.043887,            0.013077,                   0,              0.6211,          0.00010602,            0.005814,          5.4596e-05,          6.8469e-06,            0.077586,            0.024364,           0.0084421,                   0,                   0,            0.088615,          0.00011497,          0.00011497
                   4,            0.074639,            0.041414,           0.0081971,                   0,              0.6317,          0.00052059,             0.02907,          0.00027644,           8.179e-05,            0.076275,            0.024717,           0.0079449,                   0,                   0,            0.085744,          0.00014394,          0.00014394
                   5,            0.094276,            0.032757,           0.0091451,                   0,             0.61088,           0.0008608,            0.049419,          0.00048154,          0.00014295,            0.074675,            0.025139,             0.00744,                   0,                   0,            0.082873,          0.00017289,          0.00017289
                   6,            0.074056,            0.049451,           0.0069194,                   0,             0.62495,            0.001146,             0.06686,          0.00071909,          0.00023107,             0.07308,            0.025328,           0.0070587,                   0,                   0,            0.080002,          0.00020182,          0.00020182
                   7,            0.096735,            0.032801,           0.0092987,                   0,             0.60469,           0.0027126,             0.16134,           0.0022416,          0.00053785,            0.070626,            0.025839,           0.0066321,                   0,                   0,            0.077131,          0.00023072,          0.00023072
                   8,            0.072109,            0.042659,           0.0067426,                   0,             0.62209,           0.0040464,             0.24419,           0.0089098,           0.0019033,            0.068129,            0.026311,           0.0062206,                   0,                   0,             0.07426,          0.00025959,          0.00025959
                   9,            0.087378,            0.039742,           0.0067288,                   0,             0.61519,            0.005623,             0.34448,            0.067392,            0.015437,             0.06479,            0.026869,            0.005758,                   0,                   0,            0.071388,          0.00028842,          0.00028842
                  10,            0.079036,            0.041011,           0.0057505,                   0,              0.6018,           0.0060255,               0.375,             0.13982,            0.037792,            0.062258,            0.026932,           0.0053629,                   0,                   0,            0.068517,          0.00031722,          0.00031722
                  11,            0.077744,            0.057513,           0.0062412,                   0,             0.62057,           0.0063848,              0.3968,              0.2424,             0.06859,            0.059926,            0.026543,           0.0050228,                   0,                   0,            0.065646,          0.00034597,          0.00034597
                  12,            0.086791,            0.032282,           0.0065725,                   0,             0.61582,             0.87138,             0.21076,             0.29767,            0.096961,            0.057944,            0.025674,           0.0047692,                   0,                   0,            0.062775,          0.00037467,          0.00037467
                  13,            0.080396,            0.047441,           0.0056827,                   0,             0.61887,             0.80329,             0.30233,             0.29263,             0.10837,            0.056648,            0.024086,           0.0044925,                   0,                   0,            0.059903,          0.00040331,          0.00040331
                  14,            0.083452,             0.04435,             0.01459,                   0,             0.61585,              0.8221,             0.30669,             0.31188,             0.12681,            0.055126,            0.022674,           0.0042422,                   0,                   0,            0.057032,           0.0004319,           0.0004319
                  15,             0.07539,            0.048649,           0.0070649,                   0,             0.62575,             0.85399,             0.30656,             0.33842,             0.14432,            0.053782,            0.020727,           0.0039761,                   0,                   0,             0.05416,          0.00046043,          0.00046043
                  16,            0.067157,            0.032318,           0.0047152,                   0,             0.62022,             0.83949,             0.32849,              0.3474,             0.14786,            0.052156,            0.018672,           0.0036901,                   0,                   0,            0.051289,           0.0004889,           0.0004889
                  17,            0.061963,            0.031864,           0.0029581,                   0,             0.60335,             0.83232,             0.30822,             0.33201,             0.14326,            0.051299,            0.017227,           0.0034882,                   0,                   0,            0.048417,          0.00051729,          0.00051729
                  18,            0.061631,            0.031074,            0.003741,                   0,             0.62096,             0.76898,             0.30293,              0.2824,             0.10014,            0.050414,            0.016155,           0.0032643,                   0,                   0,            0.045546,          0.00054562,          0.00054562
                  19,            0.064592,            0.028491,           0.0032629,                   0,             0.60209,             0.78033,             0.31395,             0.28487,             0.10858,            0.047708,            0.015641,            0.003073,                   0,                   0,            0.042674,          0.00057386,          0.00057386
                  20,            0.064322,            0.045285,           0.0039927,                   0,             0.61353,             0.80567,             0.31541,             0.29902,              0.0986,            0.049084,            0.015358,            0.002962,                   0,                   0,            0.039802,          0.00060202,          0.00060202
                  21,            0.049215,            0.015672,           0.0018327,                   0,               0.595,             0.81804,             0.31977,             0.30836,             0.10908,            0.047514,            0.015258,           0.0028814,                   0,                   0,             0.03693,           0.0006301,           0.0006301
                  22,            0.067093,            0.041848,           0.0038913,                   0,             0.61491,             0.84206,             0.30087,             0.31192,            0.094746,            0.048851,            0.015188,           0.0028228,                   0,                   0,            0.034058,          0.00065808,          0.00065808
                  23,            0.060721,            0.029641,           0.0031021,                   0,             0.61059,             0.85821,             0.33414,             0.33285,             0.11671,            0.045617,            0.015194,           0.0027811,                   0,                   0,            0.031186,          0.00068597,          0.00068597
                  24,            0.065077,            0.030696,           0.0043602,                   0,             0.61714,             0.85426,             0.33576,             0.33985,             0.12471,            0.044251,            0.015207,           0.0027285,                   0,                   0,            0.028314,          0.00071376,          0.00071376
                  25,            0.059114,            0.029624,           0.0021481,                   0,             0.60846,              0.8856,             0.34157,             0.35687,             0.13517,            0.043369,            0.015175,           0.0026807,                   0,                   0,            0.025441,          0.00074145,          0.00074145
                  26,            0.056815,            0.023834,           0.0034119,                   0,             0.60182,              0.8477,             0.33576,             0.34145,              0.1279,            0.045215,            0.015026,           0.0026388,                   0,                   0,            0.022569,          0.00076904,          0.00076904
                  27,             0.06092,            0.030905,            0.008758,                   0,             0.59669,             0.89002,             0.34021,             0.36819,              0.1519,            0.041199,            0.015149,           0.0026111,                   0,                   0,            0.019697,          0.00079651,          0.00079651
                  28,             0.06738,            0.025723,           0.0020937,                   0,             0.58857,             0.89609,             0.34351,             0.36822,             0.14669,            0.042282,            0.014905,           0.0025818,                   0,                   0,            0.016824,          0.00082387,          0.00082387
                  29,            0.050967,            0.030355,           0.0013447,                   0,             0.59059,             0.91343,             0.34708,             0.37286,             0.14954,            0.041357,            0.014925,           0.0025732,                   0,                   0,            0.013951,          0.00085111,          0.00085111
                  30,            0.066195,            0.029979,           0.0036218,                   0,             0.60755,             0.92718,             0.36337,             0.38674,             0.17179,            0.039521,            0.014798,           0.0025589,                   0,                   0,            0.011078,          0.00087822,          0.00087822
                  31,            0.068415,            0.039515,           0.0024403,                   0,             0.59866,              0.9228,             0.35823,             0.38552,             0.16715,            0.041596,            0.014594,           0.0025423,                   0,                   0,           0.0082052,          0.00090521,          0.00090521
                  32,            0.068052,            0.024937,           0.0032969,                   0,             0.59884,             0.94916,             0.35958,              0.4009,             0.17683,            0.039184,             0.01462,           0.0025251,                   0,                   0,           0.0053321,          0.00093207,          0.00093207
                  33,            0.055056,            0.027331,           0.0042995,                   0,             0.61555,             0.96135,             0.37064,             0.41313,             0.19547,            0.038041,            0.014573,           0.0025463,                   0,                   0,           0.0024588,           0.0009588,           0.0009588
                  34,            0.055904,            0.035305,           0.0025008,                   0,             0.61194,             0.95993,             0.36919,             0.41201,             0.19116,            0.038247,             0.01444,           0.0025384,                   0,                   0,          0.00097178,          0.00097178,          0.00097178
                  35,            0.043565,            0.025439,           0.0011794,                   0,             0.59192,             0.96994,             0.36919,             0.41455,             0.19583,            0.036352,            0.014409,           0.0025325,                   0,                   0,          0.00097178,          0.00097178,          0.00097178
                  36,            0.046256,            0.026849,           0.0035538,                   0,             0.60593,             0.94906,             0.35879,             0.39375,             0.18635,            0.039281,            0.014342,           0.0025187,                   0,                   0,          0.00097011,          0.00097011,          0.00097011
                  37,            0.058324,            0.024601,           0.0026953,                   0,             0.59014,             0.95837,             0.36047,             0.40533,             0.19356,            0.038991,             0.01439,           0.0025221,                   0,                   0,           0.0009684,           0.0009684,           0.0009684
                  38,            0.094949,            0.026201,           0.0033435,                   0,             0.59746,             0.96049,             0.37266,               0.419,             0.20599,            0.036834,            0.014414,           0.0025308,                   0,                   0,          0.00096664,          0.00096664,          0.00096664
                  39,            0.060128,            0.043107,           0.0029113,                   0,             0.59856,             0.97444,             0.37355,             0.42207,              0.2182,            0.035458,            0.014313,           0.0025193,                   0,                   0,          0.00096484,          0.00096484,          0.00096484
                  40,            0.043483,            0.022273,           0.0012772,                   0,             0.58512,             0.96923,             0.37645,              0.4253,             0.22193,            0.034685,            0.014204,           0.0025308,                   0,                   0,          0.00096299,          0.00096299,          0.00096299
                  41,            0.065866,            0.024521,           0.0074077,                   0,             0.58944,             0.95974,             0.38176,             0.42382,             0.20684,            0.036168,            0.014076,           0.0025333,                   0,                   0,           0.0009611,           0.0009611,           0.0009611
                  42,            0.050233,            0.017288,           0.0023851,                   0,             0.59637,              0.9577,             0.37791,             0.42863,             0.21258,            0.033895,            0.014056,           0.0025321,                   0,                   0,          0.00095916,          0.00095916,          0.00095916
                  43,            0.054298,             0.03589,           0.0035738,                   0,              0.6083,             0.97219,             0.38517,             0.43538,             0.22495,            0.032608,            0.013967,           0.0025541,                   0,                   0,          0.00095717,          0.00095717,          0.00095717
