               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,     train/lmmd_loss,       train/fg_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,       val/lmmd_loss,         val/fg_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11135,            0.026215,            0.016898,                   0,             0.64988,          0.00022596,            0.038095,          0.00012775,          1.8854e-05,             0.11896,            0.017892,            0.015483,                   0,                   0,            0.097723,             2.3e-05,             2.3e-05
                   1,             0.12319,            0.023151,            0.015975,                   0,              0.6834,          0.00026509,            0.052381,          0.00015892,          3.3476e-05,             0.11545,            0.016479,             0.01474,                   0,                   0,            0.095347,          4.6999e-05,          4.6999e-05
                   2,             0.10634,            0.022576,            0.014665,                   0,             0.70286,           0.0004015,            0.085714,          0.00029813,          5.2068e-05,              0.1128,            0.015797,            0.014239,                   0,                   0,            0.092971,          7.0993e-05,          7.0993e-05
                   3,            0.099078,             0.05372,            0.012274,                   0,             0.62466,          0.00069588,             0.12587,          0.00065677,          0.00012892,              0.1106,            0.015374,            0.013739,                   0,                   0,            0.090595,          9.4979e-05,          9.4979e-05
                   4,            0.086964,            0.016104,           0.0094876,                   0,             0.59929,          0.00089347,             0.16872,           0.0019506,          0.00037696,             0.10717,            0.015394,            0.013351,                   0,                   0,            0.088219,          0.00011895,          0.00011895
                   5,             0.10602,            0.050832,             0.01512,                   0,              0.6642,          0.00098479,             0.18777,           0.0050221,           0.0010568,             0.10508,            0.015418,            0.013048,                   0,                   0,            0.085843,          0.00014291,          0.00014291
                   6,             0.10448,            0.011255,            0.012558,                   0,             0.65159,          0.00075449,             0.17619,            0.011639,           0.0030315,             0.10252,            0.015638,            0.012753,                   0,                   0,            0.083467,          0.00016685,          0.00016685
                   7,            0.094313,            0.039462,            0.010853,                   0,             0.69005,           0.0010739,             0.20206,            0.038521,            0.010382,            0.099491,            0.015858,             0.01252,                   0,                   0,            0.081091,          0.00019077,          0.00019077
                   8,             0.09212,           0.0098324,           0.0092447,                   0,             0.60779,          0.00088521,             0.20952,             0.10474,            0.032056,            0.096212,            0.015985,            0.012284,                   0,                   0,            0.078715,          0.00021466,          0.00021466
                   9,             0.08867,            0.038729,            0.012532,                   0,             0.65365,          0.00091593,             0.21905,             0.12511,             0.03587,             0.09623,            0.015948,            0.012182,                   0,                   0,            0.076339,          0.00023852,          0.00023852
                  10,            0.088121,            0.045351,           0.0089825,                   0,             0.62917,           0.0010097,             0.24286,             0.12998,            0.039651,            0.095304,            0.015972,            0.012012,                   0,                   0,            0.073962,          0.00026235,          0.00026235
                  11,            0.064953,            0.027681,            0.007777,                   0,             0.65422,            0.001025,             0.24762,             0.17112,             0.05911,            0.093358,             0.01612,            0.011878,                   0,                   0,            0.071586,          0.00028614,          0.00028614
                  12,             0.06654,            0.029543,             0.00736,                   0,             0.63666,           0.0010272,             0.24762,             0.18111,             0.05687,            0.092442,            0.016292,            0.011733,                   0,                   0,             0.06921,           0.0003099,           0.0003099
                  13,               0.111,            0.013269,            0.023863,                   0,             0.62474,             0.53826,             0.20952,             0.17804,            0.064784,            0.089823,            0.016432,            0.011511,                   0,                   0,            0.066834,          0.00033361,          0.00033361
                  14,             0.08588,            0.011325,           0.0078543,                   0,             0.58678,             0.66183,             0.19048,             0.16055,            0.050241,            0.088747,             0.01651,            0.011439,                   0,                   0,            0.064457,          0.00035727,          0.00035727
                  15,            0.082747,            0.022583,           0.0076538,                   0,             0.66496,             0.79054,             0.18095,             0.17546,            0.058996,            0.087874,            0.016602,            0.011371,                   0,                   0,            0.062081,          0.00038088,          0.00038088
                  16,            0.070321,            0.025519,           0.0093334,                   0,             0.65109,             0.86808,             0.19048,             0.19292,            0.080296,            0.086307,            0.016669,              0.0113,                   0,                   0,            0.059704,          0.00040444,          0.00040444
                  17,            0.076048,            0.033541,            0.009948,                   0,              0.6712,             0.89698,             0.18351,              0.1979,            0.092323,            0.084432,             0.01682,            0.011238,                   0,                   0,            0.057328,          0.00042793,          0.00042793
                  18,            0.069405,            0.049831,           0.0089321,                   0,             0.66575,             0.96514,              0.1271,             0.20657,            0.095429,            0.082302,            0.016957,            0.011196,                   0,                   0,            0.054951,          0.00045137,          0.00045137
                  19,            0.042073,            0.011839,           0.0035046,                   0,             0.58967,                   1,             0.11101,              0.2096,            0.094538,            0.082022,            0.016915,              0.0111,                   0,                   0,            0.052575,          0.00047475,          0.00047475
                  20,            0.056811,            0.030146,           0.0066307,                   0,             0.63454,             0.96725,             0.11429,             0.21846,             0.10572,            0.080958,            0.016901,            0.011013,                   0,                   0,            0.050198,          0.00049805,          0.00049805
                  21,            0.071495,            0.038898,           0.0080201,                   0,             0.67452,             0.96135,             0.15238,             0.21822,            0.085723,             0.08002,            0.016804,            0.010893,                   0,                   0,            0.047821,          0.00052129,          0.00052129
                  22,            0.094507,            0.018682,           0.0077004,                   0,             0.65364,             0.83718,             0.18095,              0.2003,            0.088294,            0.078367,            0.016607,             0.01079,                   0,                   0,            0.045444,          0.00054445,          0.00054445
